"customer_num" "arv.time" "wt.time" "st.time" "sp.time" "l.time"
"1" 1 212.369931702664 0 212.369931702664 261.192836023304 473.562767725968
"2" 2 320.203171767072 153.359595958896 473.562767725968 10.7332092683086 484.295976994277
"3" 3 335.310119449184 148.985857545092 484.295976994277 2.19483663327992 486.490813627557
"4" 4 336.206549093196 150.284264534361 486.490813627557 35.1695702690631 521.66038389662
"5" 5 415.964370299199 105.69601359742 521.66038389662 261.737897396717 783.398281293336
"6" 6 417.166845727781 366.231435565556 783.398281293336 75.7540511351116 859.152332428448
"7" 7 693.552447993155 165.599884435293 859.152332428448 22.0852767294719 881.23760915792
"8" 8 718.526645281048 162.710963876872 881.23760915792 11.3714667214408 892.609075879361
"9" 9 808.056301594279 84.5527742850815 892.609075879361 146.490693382808 1039.09976926217
"10" 10 877.845218413077 161.254550849092 1039.09976926217 401.166198938752 1440.26596820092
"11" 11 935.194851801298 505.071116399622 1440.26596820092 542.008616447004 1982.27458464792
"12" 12 1379.07821962747 603.196365020456 1982.27458464792 121.936559826136 2104.21114447406
"13" 13 1662.58359194289 441.627552531168 2104.21114447406 473.068882763053 2577.28002723711
"14" 14 2053.49601773879 523.784009498326 2577.28002723711 324.007704764382 2901.28773200149
"15" 15 2164.81013478541 736.477597216089 2901.28773200149 145.34806748096 3046.63579948245
"16" 16 2214.21569265255 832.420106829909 3046.63579948245 104.526387378573 3151.16218686103
"17" 17 2337.83013392906 813.332052931971 3151.16218686103 33.7832500583564 3184.94543691938
"18" 18 2399.34231981859 785.603117100793 3184.94543691938 38.3610314503312 3223.30646836972
"19" 19 2441.34138228596 781.965086083758 3223.30646836972 263.423847429232 3486.73031579895
"20" 20 2675.81399344986 810.916322349085 3486.73031579895 159.505455852908 3646.23577165186
"21" 21 2801.20018788256 845.035583769293 3646.23577165186 231.44878701482 3877.68455866668
"22" 22 2909.13255926292 968.551999403759 3877.68455866668 496.186765819455 4373.87132448613
"23" 23 2962.05522751506 1411.81609697107 4373.87132448613 5.68213420490868 4379.55345869104
"24" 24 2976.26104749809 1403.29241119295 4379.55345869104 118.1299965363 4497.68345522734
"25" 25 2978.70501147653 1518.97844375081 4497.68345522734 279.705755041382 4777.38921026872
"26" 26 3201.60317950875 1575.78603075997 4777.38921026872 168.805961508177 4946.1951717769
"27" 27 3270.88568420143 1675.30948757547 4946.1951717769 13.5894156619906 4959.78458743889
"28" 28 3273.08768386946 1686.69690356943 4959.78458743889 141.203240334877 5100.98782777377
"29" 29 3372.18695177186 1728.80087600191 5100.98782777377 51.6427074652165 5152.63053523898
"30" 30 3545.55176836782 1607.07876687116 5152.63053523898 502.524746871534 5655.15528211052
